"";"0"
"646";"No"
"647";"That old woman hasn't arrived"
"648";"come on"
"649";"Surely the mother came at 10"
"650";"And I don't think it will come"
"651";"Juanga"
"652";"is writing to him"
"653";"He says he must have left and thought it was at 10"
"654";"Juanga is calling her"
"655";"‎sticker omitted"
"656";"*I TOLD THEM*"
"657";"THE MAE THOUGHT THAT AT 10"
"658";NA
"659";"We start at 10"
"660";NA
"661";"HAHAHAHAHAHAHAHAHA"
"662";"There goes juanga"
"663";"toaz.info-ross-primer-curso-de-probibilidadpdf-pr_e90deeb712e911deb9b2f7b362ed30e4.pdf • 545 pages ‎document omitted"
"664";"solutions-manual-probability-jim-pitman.pdf • 201 pages document omitted"
"665";"Ross, First Probability Course"
"666";"Book_Probability_1.pdf • ‎564 pages ‎document omitted"
"667";"Pitman solver"
"668";"pitman"
"669";"How great Venegas"
"670";"You're welcome bitches"
"671";"‎sticker omitted"
"672";"Were those the ones the teacher mentioned today? In addition to the other one I had already sent"
"673";"Yeah"
"674";"Nice"
"675";"‎sticker omitted"
"676";"Those two are the complementary ones that the teacher says."
"677";"https://youtube.com/playlist?list=PLOy2IullCo2wWLcEAJrJkA0RNmZAC21Ol&si=CDcVYrhxs1L5FgF0"
"678";"Cambro God Playlist"
"679";"https://youtube.com/playlist?list=PLOy2IullCo2zYVzHB8PoE68KT9W6FRerc&si=prOQSVW9w3uaKa-6"
"680";"Another Cambro God playlist"
"681";"Apuntes2022.pdf • 122 pages document omitted"
"682";"Cambro's notes"
"683";"Probability Cambro God.pdf • ‎152 pages ‎document omitted"
"684";"This is another course, it has a touch of more addition bases"
"685";"summations"
"686";"Class 9.pdf • 112 pages document omitted"
"687";"Class 12.pdf • 116 pages document omitted"
"688";"Class 13.pdf • ‎93 pages ‎document omitted"
"689";"Class 11.pdf • 148 pages document omitted"
"690";"Class 10.pdf • 73 pages document omitted"
"691";"Class 8.pdf • 83 pages document omitted"
"692";"Class 2.pdf • 83 pages document omitted"
"693";"Class 4.pdf • 83 pages document omitted"
"694";"Class 3.pdf • 171 pages document omitted"
"695";"Class 7.pdf • 138 pages document omitted"
"696";"Class 6.pdf • 119 pages document omitted"
"697";"Class 1.pdf • 46 pages document omitted"
"698";"Class 5.pdf • 65 pages document omitted"
"699";"Those PPT are Viquez's Slides"
"700";"In case you want to take a look too"
"701";"https://youtube.com/playlist?list=PLYeULBCgR9DXFIZY_tX-FCOocFPqfu2IQ&si=iHXZBxwi7iz9Vw6D"
"702";"This is a Probability Theory Playlist"
"703";"It looks *VERY* promising, they demonstrate and the rod"
"704";"In case you like to see it"
"705";"Grimmett - Probability.pdf • ‎608 pages ‎document omitted"
"706";"I pass the Grimmett again, so that everything is together"
"707";"Introduction to Proba.pdf • 132 pages document omitted"
"708";"Basic Probability.pdf • 242 pages document omitted"
"709";"Introduction to Probability.pdf • 530 pages document omitted"
"710";"This last one is the one I'm already reading, I'm on page 368"
"711";"Very good, if you want to take a look at it, honestly, I highly recommend it, it is very intuitive and the demonstrations are not so crude and technical"
"712";"Theory of Measure and Probability.pdf • ‎199 pages ‎document omitted"
"713";"Solving Probability.pdf • ‎355 pages ‎document omitted"
"714";"*FINALLY*"
"715";"The Grimmet solution, I don't know if it is the same edition, but the advanced students passed that on to me, I hope it is useful to us"
"716";"‎sticker omitted"
"717";"@50663534216 now yes, read you bastard"
"718";"@50663600334"
"719";"https://m.youtube.com/watch?v=KWJMRSR-cLc"
"720";"That's from Viquez, there's only that kind"
"721";"but it's Introductory, so in case you want to see it, I'll break it for you there"
"722";"Venegas with 32 viruses and 7 Trojans after hacking everything"
"723";NA
"724";"One question, did anyone go for a consultation?"
"725";NA
"726";"HA HA HA HA HA HA"
"727";"To chili yes!"
"728";"Mae playo rest while you can xd. We haven't even seen matter xd"
"729";"That's why I ask, XDDDDD"
"730";"Because I just woke up HAHAHAHAHAHAHA"
"731";"Happy. One who is from Aserri and has to travel by cart from 6 AM awake :("
"732";"‎sticker omitted"
"733";"Not even the teacher arrived at 8"
"734";"LOL ..."
"735";"Today it arrives at 11💀"
"736";"Sorry guys, I thought it was Sunday 💀"
"737";"It's already arrived"
"738";"Notice in case you want to come and grab a good place"
"739";"Dick"
"740";"I'm going late"
"741";"XD"
"742";"Corella, please take photos"
"743";"‎sticker omitted"
"744";"‎image omitted"
"745";"‎sticker omitted"
"746";"don't fuck"
"747";"‎sticker omitted"
"748";"‎image omitted"
"749";"@50663600334"
"750";"Is that what you were saying?"
"751";"What did the teacher say about it?"
"752";"AHA"
"753";"My lunch box was left"
"754";"in the class"
"755";"‎sticker omitted"
"756";"‎sticker omitted"
"757";"‎sticker omitted"
"758";"‎image omitted"
"759";"@50663600334"
"760";"Here comes this"
"761";"In case you want to read it"
"762";"https://t.me/+Mv9fNrG-bb84Zjkx"
"763";"https://t.me/+Mv9fNrG-bb84Zjkx"
"764";"‎Ashley Padilla added Paula."
"765";"‎Juan Pablo joined using this group's invite link"
"766";"‎Change your security code with Sofía Bocker."
"767";"Intro To Probability.pdf • ‎126 pages ‎document omitted"
"768";"I tear up Cauchy de Proba's notes"
"769";"‎sticker omitted"
"770";"You're welcome bitches"
"771";"‎sticker omitted"
"772";"https://t.me/+Mv9fNrG-bb84Zjkx"
"773";"I'll give you the link to the Telegram group again, as not all of them are there."
"774";"And rotate them to those who don't have it, please."
"775";"Thanks, the tqm"
"776";"Mediation is already"
"777";"The only thing is that you have to self-register by searching among the courses called Probability"
"778";"The key is ca0721.III2023 if I'm not mistaken"
"779";"10/10"
