dia,hora,autor,mensaje,editado
2023-11-14,52865.0,Ashley Padilla,Day yes,False
2023-11-14,52872.0,Ashley Padilla,Nothing to say about it,False
2023-11-14,52875.0,Venegas,Jealousy?,False
2023-11-14,52890.0,Venegas,🤨🤨🤨🤨,False
2023-11-14,52901.0,Ashley Padilla,Betrayal that is worse 😞 we had agreed not to go hahaha,False
2023-11-14,52906.0,Ashley Padilla,I'm well asleep,False
2023-11-14,53012.0,Javier Hernández,How irresponsible,False
2023-11-14,53169.0,Venegas,Looks like @50687028993 already,False
2023-11-14,53185.0,Venegas,‎sticker omitted,False
2023-11-16,30696.0,Venegas,Are they out of tools?,False
2023-11-16,30719.0,Ashley Padilla,Yeah,False
2023-11-16,30753.0,Venegas,Where are they going?,False
2023-11-16,30764.0,Venegas,I'm in F1 so I'm going to go with you,False
2023-11-16,30766.0,Venegas,At f2,False
2023-11-16,30824.0,Ashley Padilla,I don't know a lie,False
2023-11-16,30826.0,Ashley Padilla,I did not go,False
2023-11-16,30840.0,Venegas,‎sticker omitted,False
2023-11-16,30855.0,Sebas,come to micro,False
2023-11-16,30868.0,Venegas,Is it in classrooms?,False
2023-11-16,30876.0,Andrés Montero,If we already go out,False
2023-11-16,30880.0,Sebas,Mongolian microbiology,False
2023-11-16,30882.0,Venegas,Okay,False
2023-11-16,30889.0,Venegas,Say mamapichas,False
2023-11-16,30892.0,Venegas,Speak well then,False
2023-11-16,30893.0,Venegas,I'm already here,False
2023-11-16,30898.0,Sebas,stupid hp,False
2023-11-16,54067.0,Venegas,Macro luck,False
2023-11-16,54069.0,Venegas,They warn us,False
2023-11-16,54075.0,Venegas,Coming,False
2023-11-16,54079.0,Venegas,The opposite definitely comes to us,False
2023-11-16,54132.0,Venegas,Luck!,False
2023-11-16,54132.0,Venegas,@50663600334 @50687028993 @50685670529 @50684441770 @50684091091 @50686093714 @50670768120 @,False
2023-11-16,63678.0,Sofía Bocker,Same🫶,False
2023-11-16,68610.0,Venegas,"One question, prices to you",False
2023-11-16,68614.0,Venegas,Were they lowered or raised?,False
2023-11-16,68618.0,Venegas,In the model,False
2023-11-16,68620.0,Venegas,General,False
2023-11-16,68621.0,Venegas,?,False
2023-11-16,68621.0,Javier Hernández,They went up I understood,False
2023-11-16,68630.0,Javier Hernández,You embarked me 🥲,False
2023-11-16,68634.0,Venegas,The answer from last year is that they say they are going down.,False
2023-11-16,68636.0,Venegas,‎sticker omitted,False
2023-11-16,68641.0,Venegas,But it is not reviewed,False
2023-11-16,68645.0,Javier Hernández,😮,False
2023-11-16,68646.0,Venegas,Then I don't believe you.,False
2023-11-16,68650.0,Venegas,‎sticker omitted,False
2023-11-17,35648.0,Felix,‎~Alejandro Brenes added Felix.,False
2023-11-17,35663.0,~ Dominick Rodríguez Trejos,‎Andrés Montero added ~Dominick Rodríguez Trejos.,False
2023-11-17,35276.0,Anthony,Call on God with that task of 351,False
2023-11-17,35291.0,Venegas,That's what I was going to say,False
2023-11-17,35309.0,Gerard,Is she so ugly?,False
2023-11-17,35599.0,Venegas,I saw her ugly,False
2023-11-17,36785.0,Javier Hernández,‎sticker omitted,False
2023-11-19,54619.0,Venegas,Hey @50684091091 In the end sauma,False
2023-11-19,54624.0,Venegas,That day he told him something else,False
2023-11-19,54629.0,Venegas,That paper girl,False
2023-11-19,54922.0,Fabian Brenes,not only did I shit and that's it xd,False
2023-11-19,54936.0,Fabian Brenes,Tomorrow I'll see if he sees me with a disgusted face xd,False
2023-11-19,54939.0,Venegas,Bad old crazy woman,False
2023-11-19,54965.0,Venegas,It's not like it made a difference in 3 minutes of the quiz,False
2023-11-19,54977.0,Venegas,How bad it fell on me,False
2023-11-19,55058.0,Venegas,"The worst thing is that the entire Slon group already knew, it's not like it was their fault that this had happened.",False
2023-11-19,55060.0,Venegas,Hpta salt,False
2023-11-19,55080.0,Venegas,Old ungraspable/unbearable/unlivable,False
2023-11-19,56268.0,Luis Fer Amey,And you who don't have a teacher know,False
2023-11-19,56286.0,Luis Fer Amey,oh yes the exams,False
2023-11-19,56312.0,Venegas,???,False
2023-11-19,56314.0,Venegas,As?,False
2023-11-19,56321.0,Luis Fer Amey,"Okay, yes",False
2023-11-19,56323.0,Venegas,Mae supposedly gives the results this Monday,False
2023-11-19,56328.0,Venegas,"Well, at least from her group.",False
2023-11-19,56333.0,Luis Fer Amey,But I'm already fed up with sauma in general,False
2023-11-19,56337.0,Luis Fer Amey,yes for that,False
2023-11-19,56344.0,Luis Fer Amey,We have to see if we screw up in general,False
2023-11-19,56349.0,Venegas,"As a tutor she is very good, the mother does teach well",False
2023-11-19,56355.0,Venegas,But it has a passive-aggressive tone,False
2023-11-19,56360.0,Venegas,Criticism,False
2023-11-19,56367.0,Venegas,and treats others like idiots,False
2023-11-19,56384.0,Luis Fer Amey,mae it's better not to start talking about that hahahaha because aha,False
2023-11-19,56388.0,Venegas,Ha ha ha,False
2023-11-19,56390.0,Luis Fer Amey,I loose,False
2023-11-19,56393.0,Luis Fer Amey,and I do not want,False
2023-11-19,56393.0,Venegas,Are there toads in the group?,False
2023-11-19,56399.0,Venegas,throw it,False
2023-11-19,56403.0,Luis Fer Amey,No,False
2023-11-19,56409.0,Venegas,"If something happens, we already know who to break",False
2023-11-19,56417.0,Venegas,‎sticker omitted,False
2023-11-19,56419.0,Luis Fer Amey,there is an interesting project to do,False
2023-11-19,56427.0,Venegas,I already have it done,False
2023-11-19,56429.0,Venegas,‎sticker omitted,False
2023-11-19,56431.0,Venegas,‎sticker omitted,False
2023-11-19,56555.0,Marco Guardia,‎image omitted,False
2023-11-19,56646.0,Venegas,😂😂😂😂,False
2023-11-20,53018.0,Corella,Successes at the exhibitions!,False
2023-11-20,53253.0,Luis Fer Amey,Thank you,False
2023-11-20,68573.0,Andrés Montero,Does anyone know anything about tomorrow's theory class? They haven't said if it is virtual or in person?,False
2023-11-20,68582.0,Andrés Montero,‎sticker omitted,False
2023-11-20,68605.0,Venegas,I asked for,False
2023-11-20,68608.0,Venegas,The teacher hates me,False
2023-11-20,68612.0,Venegas,Or ask @50685670529,False
2023-11-20,68615.0,Ashley Padilla,Hahahaha,False
2023-11-20,68615.0,Venegas,That he gets sucked,False
2023-11-20,68667.0,Andrés Montero,to chili,False
2023-11-24,31231.0,Venegas,"I didn't understand, if we have time left, do we see practice?",False
2023-11-24,31232.0,Venegas,XDDD,False
2023-11-24,31693.0,Luis Fer Amey,No,False
2023-11-24,31697.0,Luis Fer Amey,the teacher doesn't want to do,False
2023-11-24,31712.0,Luis Fer Amey,That's what I understood,False
2023-11-24,31828.0,Venegas,x2,False
2023-11-24,56691.0,Venegas,‎image omitted,False
2023-11-26,52644.0,Corella,"Hey people, just as a reminder.",False
2023-11-26,52644.0,Corella,Remember the tools of the lining task that is for the 30th,False
2023-11-26,52644.0,Corella,That's something easy to forget,False
2023-11-26,52686.0,Corella,"Oh look, I think it's for the 30th but for 00:00 then it would be for the 29th I think.",False
2023-11-26,65400.0,Venegas,‎image omitted,False
2023-11-26,65403.0,Venegas,How disgusting HAHAHA,False
2023-11-26,67223.0,Sofía Bocker,‎sticker omitted,False
2023-11-27,54894.0,Adrian,‎image omitted,False
2023-11-27,59843.0,Venegas,@50670768120 @50684441770,False
2023-11-27,59848.0,Venegas,They were exempted in Macro,False
2023-11-27,59850.0,Venegas,TRUE?,False
2023-11-27,59907.0,Venegas,Uuuf and @50684091091,False
2023-11-27,59910.0,Venegas,Also,False
2023-11-27,59915.0,Venegas,Congratulations handsome,False
2023-11-27,60248.0,Felix,‎sticker omitted,False
2023-11-27,61635.0,Marco Guardia,‎sticker omitted,False
2023-11-27,62308.0,Luis Fer Amey,They have already uploaded the excel with the notes so you can review it if you have not done so,False
2023-11-27,62320.0,Luis Fer Amey,and congratulations to the 3,False
2023-11-27,62463.0,Luis Fer Amey,They are the pride of all of us who suffered the course,False
2023-11-27,62564.0,Venegas,I confirm a lot,False
2023-11-27,62564.0,Venegas,Pros,False
2023-11-27,62564.0,Venegas,Saicos,False
2023-11-27,62565.0,Venegas,‎sticker omitted,False
2023-11-27,68430.0,Ashley Padilla,‎Change your security code with Ashley Padilla.,False
2023-11-27,72610.0,Gustavo Amador,‎image omitted,False
2023-11-27,72647.0,Gustavo Amador,promise,False
2023-11-27,72998.0,Ashley Padilla,Yessss,False
2023-11-27,73058.0,Venegas,S8,False
2023-11-27,73061.0,Venegas,Virtual promise more,False
2023-11-27,73098.0,Ashley Padilla,In person,False
2023-11-27,73112.0,Ashley Padilla,That day we have trial classes and we leave at 12,False
2023-11-27,73133.0,Venegas,Yeah,False
2023-11-27,73139.0,Venegas,Mae 10/10 a Ph.d is Actuarial,False
2023-11-27,73141.0,Venegas,What shows,False
2023-11-27,73144.0,Venegas,🥹🥹🥹🥹,False
2023-11-27,73148.0,Venegas,I hope to reach that level,False
2023-11-27,73919.0,Javier Hernández,"One question, for the theory project did everyone make a presentation?",False
2023-11-27,73945.0,Luis Fer Amey,at least our group does and corella's too,False
2023-11-27,73969.0,Luis Fer Amey,Let's say it's not necessary if they play with explaining everything in the air but say it's a presentation,False
2023-11-27,73974.0,Javier Hernández,"Ok ok, better make one yes",False
2023-11-27,74074.0,Luis Fer Amey,You can still make a brief one but it wins points for the visualization,False
2023-11-27,76456.0,Venegas,I'm going to do it,False
2023-11-27,76461.0,Venegas,I feel that it is very ugly to exhibit without it,False
2023-11-28,20083.0,Venegas,Kids two things,False
2023-11-28,20090.0,Venegas,Good luck to Micro!!!,False
2023-11-28,20094.0,Venegas,Successes!,False
2023-11-28,20107.0,Venegas,"And second, hasn't anyone had their homework reviewed?",False
2023-11-28,37260.0,Andrés Montero,Hello,False
2023-11-28,37268.0,Andrés Montero,How many people expose in theory? Two per group?,False
2023-11-28,37279.0,Andrés Montero,‎sticker omitted,False
2023-11-28,37289.0,Corella,Last time we all went,False
2023-11-28,37305.0,Andrés Montero,"Yes yes, but they say there are 2 per group",False
2023-11-28,37311.0,Andrés Montero,But not c,False
2023-11-28,37317.0,Corella,Oh ok ok,False
2023-11-28,37324.0,Corella,No idea then,False
2023-11-28,37330.0,Marco Guardia,It's as you like,False
2023-11-28,37330.0,Marco Guardia,The teacher left 2 per group,False
2023-11-28,37343.0,Andrés Montero,‎sticker omitted,False
2023-11-28,38634.0,Luis Fer Amey,"It's because there weren't many of us presenting, so he left us with a lot of things, but in theory it's 10 minutes per group and 2 presenting, I think.",False
2023-11-28,38639.0,Luis Fer Amey,_believe_,False
2023-11-28,38674.0,Marco Guardia,It's not going to be like Maria Jose doing it and putting a stopwatch on.,False
2023-11-28,38681.0,Luis Fer Amey,But,False
2023-11-28,38685.0,Luis Fer Amey,The teacher all chilled,False
2023-11-28,38691.0,Marco Guardia,do*,False
2023-11-29,5375.0,Sebas,"A question, does anyone have the result of the 2nd of the 351 quiz?",False
2023-11-29,5378.0,Sebas,‎sticker omitted,False
2023-11-29,64976.0,Ashley Padilla,‎image omitted,False
2023-11-30,27975.0,Javier Hernández,Success in the exam!! 🫶🏽,False
2023-11-30,27978.0,Javier Hernández,‎sticker omitted,False
2023-11-30,28310.0,Corella,Thank you very much pa',False
2023-11-30,28344.0,Venegas,Tuanis,False
2023-11-30,29440.0,Ashley Padilla,Thanks Javi 🫶🏻,False
2023-12-01,86231.0,Venegas,When do you think the teacher will be interested in the grade?,False
2023-12-01,86233.0,Venegas,‎sticker omitted,False
2023-12-02,44264.0,Marco Guardia,the real question is,False
2023-12-02,44264.0,Marco Guardia,When does Javier plan to upload the instructions for the log that will be delivered tomorrow 🤔,False
2023-12-02,44275.0,Venegas,‎sticker omitted,False
2023-12-02,44276.0,Venegas,‎sticker omitted,False
2023-12-02,45131.0,Javier Hernández,He's going to give them after the exam because he knows that otherwise we won't make it haha,False
2023-12-02,45551.0,Corella,Hahaha,False
2023-12-02,45563.0,Corella,Is it true that the teacher didn't confirm receipt or anything?,False
2023-12-02,45862.0,Javier Hernández,I sent it to him on WhatsApp and he left me seen,False
2023-12-02,45878.0,Javier Hernández,So I guess not,False
2023-12-02,45881.0,Corella,"Oh well, then I can rest easy hahaha",False
2023-12-02,82294.0,Venegas,‎Video omitted,False
2023-12-02,85147.0,Corella,‎image omitted,False
2023-12-02,85245.0,Ashley Padilla,Thanks 🫶🏻,False
2023-12-02,85262.0,Corella,pure Life!,False
2023-12-03,43143.0,Venegas,Sede_RodrigoFacio_3-2023.pdf • ‎58 pages ‎document omitted,False
2023-12-04,49094.0,Corella,And remember the pre-registration,False
2023-12-04,49491.0,Corella,It started today and I have no idea when it ends but in the summer I think there weren't many days to do it.,False
2023-12-04,49530.0,Venegas,Until Wednesday,False
2023-12-04,49534.0,Venegas,There is a chance,False
2023-12-04,49540.0,Corella,Oh ok,False
2023-12-04,55530.0,Adrian,But does it work for you? Not for me :(,False
2023-12-04,55711.0,Gustavo Amador,You have to mark as approved Calculus,False
2023-12-04,55722.0,Javier Hernández,Exact,False
2023-12-05,24879.0,Venegas,You changed your security code with Venegas.,False
2023-12-05,42550.0,Venegas,Xdddd,False
2023-12-05,42565.0,Felix,‎sticker omitted,False
2023-12-05,42567.0,Venegas,They took away the wild card,False
2023-12-05,42576.0,Venegas,😂😂😂😂😂😂😂,False
2023-12-05,42585.0,Juan Pablo M.,Christian got angry 😞,False
2023-12-05,42589.0,Corella,Hahaha,False
2023-12-05,42604.0,Venegas,He got stuck,False
2023-12-05,42605.0,Corella,Guilt for having developed promising projects,False
2023-12-05,42606.0,Ashley Padilla,What was that so random hahaha,False
2023-12-05,42612.0,Venegas,XDDD,False
2023-12-05,42614.0,Adrian,What is it that you noticed someone copying in the bathroom?,False
2023-12-05,42615.0,Venegas,sauma mode,False
2023-12-05,42620.0,Venegas,"Come on, buddy.",False
2023-12-05,42671.0,Javier Hernández,Not even Sauma because she lets herself out at the beginning,False
2023-12-05,42674.0,Javier Hernández,Ha ha ha,False
2023-12-05,86980.0,Gustavo Amador,Let's hope that really the formulas,False
2023-12-05,86998.0,Gerard,It's not going to give anything,False
2023-12-05,87000.0,Ashley Padilla,Just like he gave them last time hahaha,False
2023-12-05,87003.0,Gustavo Amador,‎sticker omitted,False
2023-12-05,87357.0,Adrian,Legal,False
2023-12-05,71660.0,Ashley Padilla,‎image omitted,False
2023-12-05,71689.0,Venegas,for you to see,False
2023-12-05,71696.0,Venegas,Responsible persons,False
2023-12-05,71704.0,Venegas,PS: In the end the teacher moved the log?,False
2023-12-05,71712.0,Juan Pablo M.,No,False
2023-12-05,71715.0,Ashley Padilla,"No, he doesn't answer",False
2023-12-05,71719.0,Juan Pablo M.,"but x, it doesn't matter what he says in the end",False
2023-12-05,71720.0,Venegas,"Ish, what a dick",False
2023-12-05,71721.0,Juan Pablo M.,‎sticker omitted,False
2023-12-05,71727.0,Venegas,Strike the hpta,False
2023-12-05,71744.0,Ashley Padilla,Juan Pablooooo our blog ‎,True
2023-12-05,71761.0,Juan Pablo M.,@50686093714,False
2023-12-05,71778.0,Venegas,@50686093714,False
2023-12-05,71783.0,Venegas,*TOROPUUUUUUUUUUUUUUUU*,False
2023-12-05,71786.0,Venegas,The mother answers,False
2023-12-05,72070.0,Anthony,‎image omitted,False
2023-12-05,72084.0,Venegas,KJAJKSAJKSAJKSAJKSJKASJKASA,False
2023-12-05,72094.0,Venegas,The stuck ones,False
2023-12-05,72109.0,Venegas,What the fuck is Ashley taking?,False
2023-12-05,72119.0,Ashley Padilla,Cool,False
2023-12-05,72121.0,Juan Pablo M.,an elf of liberation,False
2023-12-05,72129.0,Venegas,Hulk semen,False
2023-12-05,72135.0,Venegas,HA HA HA,False
2023-12-05,72140.0,Venegas,Figueres managed to do it,False
2023-12-05,72142.0,Venegas,XDDDDDDDDDD,False
2023-12-05,72151.0,Ashley Padilla,Lit I told the bartender “green goblin liberation”,False
2023-12-05,72167.0,Venegas,I don't know her God HAHAHA,False
2023-12-05,72906.0,Andrés Montero,How do you not know elves???,False
2023-12-05,72908.0,Andrés Montero,‎sticker omitted,False
2023-12-05,72934.0,Venegas,"Hahahaha, you'd better not ;(",False
2023-12-05,72940.0,Venegas,In fact I don't even know how they are made,False
2023-12-05,72983.0,Venegas,That carries?,False
2023-12-05,73126.0,Andrés Montero,mae di,False
2023-12-05,73130.0,Andrés Montero,Fresh,False
2023-12-05,73150.0,Venegas,Hahaha doesn't it have guaro?,False
2023-12-05,73153.0,Venegas,I would swear that,False
2023-12-05,73161.0,Venegas,"that he wears like Ron, or pacha",False
2023-12-05,73164.0,Venegas,or shit like that,False
2023-12-05,73198.0,Juan Pablo M.,"mae no, it's tang from lemon and monster",False
2023-12-05,73204.0,Andrés Montero,Hahaha mae yes obviously,False
2023-12-05,73211.0,Andrés Montero,According to me it is pure waro mix,False
2023-12-05,73211.0,Ashley Padilla,"Yes, exactly",False
2023-12-05,73216.0,Ashley Padilla,With a little of salt,False
2023-12-05,73217.0,Ashley Padilla,Nothing else,False
2023-12-05,73222.0,Venegas,What a joke hahahaha,False
2023-12-05,73223.0,Venegas,say yes,False
2023-12-05,73226.0,Venegas,Doesn't sound ugly then,False
2023-12-05,73269.0,Ashley Padilla,‎image omitted,False
2023-12-05,73310.0,Ashley Padilla,@50684743854,False
2023-12-05,73345.0,Venegas,What a bomb the blue elf,False
2023-12-05,73347.0,Venegas,no mame,False
2023-12-05,73363.0,Juan Pablo M.,the blue?,False
2023-12-05,73363.0,Juan Pablo M.,‎sticker omitted,False
2023-12-05,73369.0,Ashley Padilla,blue is the smallest,False
2023-12-05,73370.0,Venegas,hahaha,False
2023-12-05,73375.0,Venegas,HA HA HA,False
2023-12-05,73376.0,Juan Pablo M.,minor,False
2023-12-05,73378.0,Juan Pablo M.,HAHAHAHAHAHAHAHA,False
2023-12-05,73378.0,Venegas,UUUuuuf,False
2023-12-05,73382.0,Venegas,The pure exp speaking,False
2023-12-05,73385.0,Venegas,It sounded uglier to me,False
2023-12-05,73387.0,Venegas,JAJKAKJSAJKSAJKSKAJSAS,False
2023-12-05,73388.0,Venegas,say yes,False
2023-12-05,73401.0,Ashley Padilla,Hahahahahaha fools,False
2023-12-05,75296.0,Adrian,Gerard programming like the gods,False
2023-12-06,5506.0,Adrian,👍,False
2023-12-06,30734.0,Venegas,"Does anyone have Raúl's number, please rotate it for me, since I lost my cell phone, I lost many numbers",False
2023-12-06,30737.0,Venegas,Please,False
2023-12-06,30755.0,Venegas,And good morning to the gummed ones hahahaha,False
2023-12-06,31431.0,Luis Fer Amey,Hahahaha,False
2023-12-06,31436.0,Luis Fer Amey,I don't have it,False
2023-12-06,86963.0,Venegas,Remember that until today there is time to pre-enroll.,False
2023-12-06,86964.0,Venegas,For that,False
2023-12-06,50854.0,‪+506 8968 3966‬,‎Ashley Padilla added to +506 8968 3966.,False
2023-12-06,51151.0,Venegas,Grimmett Probability.pdf • ‎608 pages ‎document omitted,False
2023-12-06,56481.0,Sebas,"Hello! A question, does anyone have the first exam and calculus quiz?",False
2023-12-06,57414.0,Venegas,"Mae yes, but I'm not home ;(",False
2023-12-06,81752.0,Venegas,‎image omitted,False
2023-12-06,83262.0,Venegas,I'm not sure if it's the same edition but I had found this solution,False
2023-12-06,83262.0,Venegas,https://ia904606.us.archive.org/32/items/solving-probability/Solving%20Probability.pdf,False
2023-12-06,83262.0,Venegas,Grimmett Probability.pdf • ‎608 pages ‎document omitted,False
2023-12-07,35304.0,Corella,‎image omitted,False
2023-12-07,39717.0,Venegas,"Can someone rotate my Kellison, please?",False
2023-12-07,39792.0,Venegas,Thanks bro,False
2023-12-07,40525.0,Andrés Montero,‎sticker omitted,False
2023-12-07,67582.0,~ Heizel Obando Leiva,‎Change your security code with +506 8982 2719.,False
2023-12-08,63781.0,Venegas,Dickson - Life Contingencies.pdf • ‎513 pages ‎document omitted,False
2023-12-08,63816.0,Venegas,Introduction to Proba.pdf • 132 pages document omitted,False
2023-12-08,63817.0,Venegas,Introduction to Probability.pdf • ‎530 pages ‎document omitted,False
2023-12-08,63817.0,Venegas,Basic Probability.pdf • ‎242 pages ‎document omitted,False
2023-12-08,63817.0,Venegas,Measurement and Probability Theory.pdf • 199 pages document omitted,False
2023-12-08,63885.0,Venegas,"There I break out those Proba pdfs, in case you want to see them, they are from U in other countries, but they are intended for Actuarial students, in case you want to read from somewhere else.",False
2023-12-08,63885.0,Venegas,"PS: I passed them on to Raúl, so he can give me an opinion on them, then I'll tell you what he said.",False
2023-12-08,63921.0,Venegas,https://www.youtube.com/playlist?list=PLYeULBCgR9DXFIZY_tX-FCOocFPqfu2IQ,False
2023-12-08,63946.0,Venegas,And that link is trial classes,False
2023-12-08,63946.0,Venegas,In case you also want to take a look,False
2023-12-08,63981.0,Venegas,PS: I was looking at it and it looks very good!,False
2023-12-08,64899.0,Venegas,"""In general we are not going to deal with measure theory so those specific books will not be as useful to us""",False
2023-12-08,64899.0,Venegas,"That's what Raúl answered, so you can discard THIS BOOK",False
2023-12-08,64899.0,Venegas,He said that the others will answer me later,False
2023-12-08,72837.0,Luis Fer Amey,excuse the non-tools. How are your situations going with the exam? I want to know because I want to get this off my chest and I don't have the slightest idea how to move forward.,False
2023-12-08,72862.0,Andrés Montero,tamos iwal,False
2023-12-08,72868.0,Anthony,‎sticker omitted,False
2023-12-08,72874.0,Corella,‎sticker omitted,False
2023-12-08,72874.0,Andrés Montero,The teacher is drunk,False
2023-12-08,72876.0,Andrés Montero,HA HA HA,False
2023-12-08,72877.0,Anthony,The teacher said it was something easy,False
2023-12-08,72881.0,Andrés Montero,He says it's shorter than the first one,False
2023-12-08,72887.0,Anthony,we plotted,False
2023-12-08,72897.0,Corella,I had faith that it was short,False
2023-12-08,72900.0,Corella,but not a damn hahaha,False
2023-12-08,72960.0,Felix,‎sticker omitted,False
2023-12-08,72980.0,Andrés Montero,‎sticker omitted,False
2023-12-08,73008.0,Juan Pablo M.,He swore that the exam was shorter than the last one,False
2023-12-08,73012.0,Juan Pablo M.,‎sticker omitted,False
2023-12-08,73101.0,Sofía Bocker,‎sticker omitted,False
2023-12-08,73591.0,~ Alejandro Brenes,The teacher after starting to make an algorithm for program 3:,False
2023-12-08,73592.0,~ Alejandro Brenes,‎sticker omitted,False
2023-12-08,74191.0,Javier Hernández,I say we send him a Trojan,False
2023-12-08,74881.0,Luis Fer Amey,"Wait, I'll download one hahaha",False
2023-12-08,74903.0,Luis Fer Amey,names I don't know what we are going to do with this teacher,False
2023-12-08,74929.0,Adrian,I put it in a netbot,False
2023-12-08,75287.0,Andrés Montero,"The teacher said that if it was too hard, he would consider a change.",False
2023-12-08,75292.0,Andrés Montero,I say we tell him that hahaha,False
2023-12-08,75442.0,Felix,"How it is, it doesn't do anything",False
2023-12-08,75526.0,Luis Fer Amey,but,False
2023-12-08,75534.0,Marco Guardia,add that we have to finish the project for which there are no instructions or rubric yet xd,False
2023-12-08,75544.0,Luis Fer Amey,HAHAHAHAHA,False
2023-12-08,75593.0,Luis Fer Amey,mae and the exam instructions are written like ?????,False
2023-12-08,75720.0,Andrés Montero,"Mae, I'm still understanding what they are like",False
2023-12-08,75726.0,Felix,"Always and according to him, it is understood why he asks two people who do the same thing as him.",False
2023-12-08,75731.0,Andrés Montero,I literally have point 1 and point 2 Hahaha,False
2023-12-08,75771.0,Adrian,How did the statesman and the experienced actuary understand? How strange isn't it? xd,False
2023-12-08,75834.0,Luis Fer Amey,"Mae, this exam is going to take a long time to knit 😞",False
2023-12-08,75841.0,Luis Fer Amey,How odd,False
2023-12-08,75856.0,Luis Fer Amey,And the teacher says it's easy hahaha of course teacher for you,False
2023-12-08,75879.0,Luis Fer Amey,We are dying here trying to understand it and get functions that serve,False
2023-12-08,75903.0,Javier Hernández,"In fact, it has now come out that he programmed this in his master's degree.",False
2023-12-08,75926.0,Juan Pablo M.,the teacher made us do our graduation work,False
2023-12-09,77119.0,Adrian,‎image omitted,False
2023-12-09,77957.0,Luis Fer Amey,HAHAHAHA I hadn't even realized it couldn't be,False
2023-12-09,77968.0,Luis Fer Amey,"Well, we have all been suffering from that.",False
2023-12-09,77998.0,Andrés Montero,How much % is lost by sharing code with colleagues and giving them credit?,False
2023-12-09,78045.0,Luis Fer Amey,"From what I see, if it is more than 60% then 80% because it cannot be 100",False
2023-12-09,78064.0,Luis Fer Amey,Has no sense,False
2023-12-09,78079.0,Luis Fer Amey,"that is, that encourages us to use chatgpt wtf",False
2023-12-09,78300.0,Javier Hernández,What I understood is that among colleagues it is reported and chatgpt is 60%,False
2023-12-09,78316.0,Javier Hernández,And the question was cancelled,False
2023-12-09,78351.0,Andrés Montero,TO,False
2023-12-09,78358.0,Andrés Montero,I had understood that if I gave the merit it is better than ia,False
2023-12-09,78363.0,Andrés Montero,But I already read the instructions well,False
2023-12-09,78370.0,Andrés Montero,‎sticker omitted,False
2023-12-10,42331.0,Adrian,‎This message has been deleted.,False
2023-12-10,42354.0,Corella,Ishhhh,False
2023-12-10,42358.0,Corella,‎sticker omitted,False
2023-12-10,87772.0,Adrian,"Don't pay attention to me, this time is for the project. I don't even know what I'm saying anymore xd",False
2023-12-11,59250.0,Anthony,"People, remember that from today until 12+1 is enrollment.",False
2023-12-11,59267.0,Corella,Hahaha,False
2023-12-11,59293.0,Marco Guardia,man of culture,False
