[1/11/23, 3:41:35 PM] Gen: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Nadie fuera de este chat, ni siquiera WhatsApp, puede leerlos ni escucharlos.
[1/11/23, 3:41:35 PM] Venegas: ‎Venegas creó este grupo.PM]
[2/12/23, 12:39:11 AM] Corella: Jajajaja
[2/12/23, 12:39:23 AM] Corella: Verdad que el profe no confirmaba recibido ni nada?
[2/12/23, 12:44:22 AM] Javier Hernández: Yo se lo mandé por WhatsApp y me dejó en visto
[2/12/23, 12:44:38 AM] Javier Hernández: Entonces me imagino que no
[2/12/23, 12:44:41 AM] Corella: Ah bueno, entonces puedo estar tranquilo jajaja
‎[2/12/23, 10:51:34 PM] Venegas: ‎Video omitido
‎[2/12/23, 11:39:07 PM] Corella: ‎imagen omitida
[2/12/23, 11:40:45 PM] Ashley Padilla: Graciaaaas 🫶🏻
[2/12/23, 11:41:02 PM] Corella: pura vida!
‎[3/12/23, 11:59:03 AM] Venegas: Sede_RodrigoFacio_3-2023.pdf • ‎58 páginas ‎documento omitido
[4/12/23, 1:38:14 PM] Corella: Y acuérdesen de la prematricula
[4/12/23, 1:44:51 PM] Corella: Que empezó hoy y ni idea cuando termina pero en verano creo que no había muchos días para hacerla
[4/12/23, 1:45:30 PM] Venegas: Hasta el miercoles
[4/12/23, 1:45:34 PM] Venegas: Hay chance
[4/12/23, 1:45:40 PM] Corella: Ah bueno
[4/12/23, 3:25:30 PM] Adrian: maes a ustedes les sale proba? a mi no :(
[4/12/23, 3:28:31 PM] Gustavo Amador: Tienes que marcar como aprobado Cálculo
[4/12/23, 3:28:42 PM] Javier Hernández: Exacto
[5/12/23, 6:54:39 AM] Venegas: ‎Cambió tu código de seguridad con Venegas.
[5/12/23, 11:49:10 AM] Venegas: Xdddd
‎[5/12/23, 11:49:25 AM] Felix: ‎sticker omitido
[5/12/23, 11:49:27 AM] Venegas: Nos quitaron el comodín
[5/12/23, 11:49:36 AM] Venegas: 😂😂😂😂😂😂😂
[5/12/23, 11:49:45 AM] ~ Juan Pablo M.: se enojó Christian 😞
[5/12/23, 11:49:49 AM] Corella: Jajajaja
[5/12/23, 11:50:04 AM] Venegas: Se emputó
[5/12/23, 11:50:05 AM] Corella: Culpa de haber desarrollado proyectos prometedores
[5/12/23, 11:50:06 AM] Ashley Padilla: Que fue eso tan random jajajaj
[5/12/23, 11:50:12 AM] Venegas: XDDD
[5/12/23, 11:50:14 AM] Adrian: what será que se dió cuenta de alguien copiando en el baño?
[5/12/23, 11:50:15 AM] Venegas: Modo sauma
[5/12/23, 11:50:20 AM] Venegas: Anda el compa
[5/12/23, 11:51:11 AM] Javier Hernández: Ni Sauma porque ella se deja salir al inicio
[5/12/23, 11:51:14 AM] Javier Hernández: Jajaja
[5/12/23, 12:09:40 PM] Gustavo Amador: Esperemos que realmente de las fórmulas
[5/12/23, 12:09:58 PM] Gerard: No va a dar nada
[5/12/23, 12:10:00 PM] Ashley Padilla: Así como las dió la vez pasada jajaja
‎[5/12/23, 12:10:03 PM] Gustavo Amador: ‎sticker omitido
[5/12/23, 12:15:57 PM] Adrian: Legal
‎[5/12/23, 7:54:20 PM] Ashley Padilla: ‎imagen omitida
[5/12/23, 7:54:49 PM] Venegas: Para que vea
[5/12/23, 7:54:56 PM] Venegas: Personas responsables
[5/12/23, 7:55:04 PM] Venegas: Pd: Al final el profe les movió la bitácora?
[5/12/23, 7:55:12 PM] ~ Juan Pablo M.: no
[5/12/23, 7:55:15 PM] Ashley Padilla: No, no contesta
[5/12/23, 7:55:19 PM] ~ Juan Pablo M.: pero x, no importa lo que él diga al final
[5/12/23, 7:55:20 PM] Venegas: Ish, que picha
‎[5/12/23, 7:55:21 PM] ~ Juan Pablo M.: ‎sticker omitido
[5/12/23, 7:55:27 PM] Venegas: Haganle huelga al hpta
[5/12/23, 7:55:44 PM] Ashley Padilla: Juan Pablooooo nuestra bitácora ‎<Se editó este mensaje.>
[5/12/23, 7:56:01 PM] ~ Juan Pablo M.: @50686093714
[5/12/23, 7:56:18 PM] Venegas: @50686093714
[5/12/23, 7:56:23 PM] Venegas: *TOROPUUUUUUUUUUUUUUUU*
[5/12/23, 7:56:26 PM] Venegas: Conteste la madre
‎[5/12/23, 8:01:10 PM] Anthony: ‎imagen omitida
[5/12/23, 8:01:24 PM] Venegas: KJAJKSAJKSAJKSAJKSJKASJKASA
[5/12/23, 8:01:34 PM] Venegas: Los pegados
[5/12/23, 8:01:49 PM] Venegas: Qué putas está tomando Ashley?
[5/12/23, 8:01:59 PM] Ashley Padilla: Fresco
[5/12/23, 8:02:01 PM] ~ Juan Pablo M.: un duende de liberación
[5/12/23, 8:02:09 PM] Venegas: Semén de Hulk
[5/12/23, 8:02:15 PM] Venegas: JAJAJAJAJA
[5/12/23, 8:02:20 PM] Venegas: Se lo llegó hacer Figueres
[5/12/23, 8:02:22 PM] Venegas: XDDDDDDDDD
[5/12/23, 8:02:31 PM] Ashley Padilla: Lit le dije al bartender “duende verde liberación”
[5/12/23, 8:02:47 PM] Venegas: No la conozco Dios JAJAJA
[5/12/23, 8:15:06 PM] Andrés Montero: Como no conoce los duendes???
‎[5/12/23, 8:15:08 PM] Andrés Montero: ‎sticker omitido
[5/12/23, 8:15:34 PM] Venegas: Jajajaja mae vieras que no ;(
[5/12/23, 8:15:40 PM] Venegas: De hecho ni sé cómo se hacen
[5/12/23, 8:16:23 PM] Venegas: Qué lleva?
[5/12/23, 8:18:46 PM] Andrés Montero: Mae di
[5/12/23, 8:18:50 PM] Andrés Montero: Fresquitos
[5/12/23, 8:19:10 PM] Venegas: Jajaja no lleva guaro?
[5/12/23, 8:19:13 PM] Venegas: Juraría q
[5/12/23, 8:19:21 PM] Venegas: que lleva como Ron, o pacha
[5/12/23, 8:19:24 PM] Venegas: o una mierda así
[5/12/23, 8:19:58 PM] ~ Juan Pablo M.: mae no, es tang de limón y monster
[5/12/23, 8:20:04 PM] Andrés Montero: Jajaja mae si obvio
[5/12/23, 8:20:11 PM] Andrés Montero: Según yo es puro mix de waro
[5/12/23, 8:20:11 PM] Ashley Padilla: Si exacto
[5/12/23, 8:20:16 PM] Ashley Padilla: Con un poco de sal
[5/12/23, 8:20:17 PM] Ashley Padilla: Nada más
[5/12/23, 8:20:22 PM] Venegas: Que jeta jajajaj
[5/12/23, 8:20:23 PM] Venegas: Di si
[5/12/23, 8:20:26 PM] Venegas: No suena feo entonces
‎[5/12/23, 8:21:09 PM] Ashley Padilla: ‎imagen omitida
[5/12/23, 8:21:50 PM] Ashley Padilla: @50684743854
[5/12/23, 8:22:25 PM] Venegas: Que bomba el duende aazul
[5/12/23, 8:22:27 PM] Venegas: No mame
[5/12/23, 8:22:43 PM] ~ Juan Pablo M.: el azul?
‎[5/12/23, 8:22:43 PM] ~ Juan Pablo M.: ‎sticker omitido
[5/12/23, 8:22:49 PM] Ashley Padilla: El azul es el menor
[5/12/23, 8:22:50 PM] Venegas: jAJAJAJA
[5/12/23, 8:22:55 PM] Venegas: JAJAJA
[5/12/23, 8:22:56 PM] ~ Juan Pablo M.: menor
[5/12/23, 8:22:58 PM] ~ Juan Pablo M.: JAJAJAJAJJAJAJA
[5/12/23, 8:22:58 PM] Venegas: UUUuuuf
[5/12/23, 8:23:02 PM] Venegas: La pura exp hablando
[5/12/23, 8:23:05 PM] Venegas: Me sonaba más feo
[5/12/23, 8:23:07 PM] Venegas: JAJKAKJSAJKSAJKSKAJSAS
[5/12/23, 8:23:08 PM] Venegas: Di si
[5/12/23, 8:23:21 PM] Ashley Padilla: Jajajjajaja necios
[5/12/23, 8:54:56 PM] Adrian: Gerard programando como los dioses
[6/12/23, 1:31:46 AM] Adrian: 👍
[6/12/23, 8:32:14 AM] Venegas: Alguien tiene el número de Raúl, que me lo rote porfas, como perdí el cel, perdí muchos números
[6/12/23, 8:32:17 AM] Venegas: Plis
[6/12/23, 8:32:35 AM] Venegas: Y buenos días a los engomados jajajaja
[6/12/23, 8:43:51 AM] Luis Fer Amey: Jajajajaj
[6/12/23, 8:43:56 AM] Luis Fer Amey: No lo tengo
[6/12/23, 12:09:23 PM] Venegas: Acuérdense que hasta hoy hay tiempo de prematriculart
[6/12/23, 12:09:24 PM] Venegas: Por aquello
[6/12/23, 2:07:34 PM] ‪+506 8968 3966‬: ‎Ashley Padilla añadió a ‪+506 8968 3966‬.
‎[6/12/23, 2:12:31 PM] Venegas: Grimmett Probability.pdf • ‎608 páginas ‎documento omitido
[6/12/23, 3:41:21 PM] Sebas: Hola! Una consulta alguien tiene el primer examen y quiz de cálculo?
[6/12/23, 3:56:54 PM] Venegas: Mae si, pero no estoy mi casa ;(
‎[6/12/23, 10:42:32 PM] Venegas: ‎imagen omitida
[6/12/23, 11:07:42 PM] Venegas: No estoy segura si es de la misma edición pero yo había encontrado este solucionario
[6/12/23, 11:07:42 PM] Venegas: https://ia904606.us.archive.org/32/items/solving-probability/Solving%20Probability.pdf
‎[6/12/23, 11:07:42 PM] Venegas: Grimmett Probability.pdf • ‎608 páginas ‎documento omitido
‎[7/12/23, 9:48:24 AM] Corella: ‎imagen omitida
[7/12/23, 11:01:57 AM] Venegas: Alguien me puede rotar el kellison, plis
[7/12/23, 11:03:12 AM] Venegas: Gracias bro
‎[7/12/23, 11:15:25 AM] Andrés Montero: ‎sticker omitido
[7/12/23, 6:46:22 PM] ~ Heizel Obando Leiva: ‎Cambió tu código de seguridad con ‪+506 8982 2719‬.
‎[8/12/23, 5:43:01 PM] Venegas: Dickson - Contingencias de Vida.pdf • ‎513 páginas ‎documento omitido
‎[8/12/23, 5:43:36 PM] Venegas: Introducción a la Proba.pdf • ‎132 páginas ‎documento omitido
‎[8/12/23, 5:43:37 PM] Venegas: Introducción a la Probabilidad.pdf • ‎530 páginas ‎documento omitido
‎[8/12/23, 5:43:37 PM] Venegas: Probabilidad Básica.pdf • ‎242 páginas ‎documento omitido
‎[8/12/23, 5:43:37 PM] Venegas: Teoría de la Medida y de la Probabilidad.pdf • ‎199 páginas ‎documento omitido
[8/12/23, 5:44:45 PM] Venegas: Ahí les roto esos pdf de Proba, por si los quieren ir viendo, son de U de otros países, pero están destinados a estudiantes de Actuariado, por si quieren leer de algún lugar extra.
Pd: Se los pasé a Raúl, para que me dé una opinión de ellos, luego les digo qué dijo él.
[8/12/23, 5:45:21 PM] Venegas: https://www.youtube.com/playlist?list=PLYeULBCgR9DXFIZY_tX-FCOocFPqfu2IQ
[8/12/23, 5:45:46 PM] Venegas: Y ese link son clases de proba
Por si también les quieren echar un vistazo
[8/12/23, 5:46:21 PM] Venegas: Pd: Lo estuve viendo y se ve muy bien!
[8/12/23, 6:01:39 PM] Venegas: "En general nosotros no vamos a ocupar teoría de la medida entonces esos libros específicos no nos serán tan útiles"
Eso contestó Raúl, entonces pueden descartar ESTE LIBRO 
Dijo que luego me responde los demás
[8/12/23, 8:13:57 PM] Luis Fer Amey: disculpen a los no-herramientas. Cómo van sus situaciones con el examen? quiero saber porque quiero desahogarme de esto y no tengo ni la menor idea de como avanzar
[8/12/23, 8:14:22 PM] Andrés Montero: Tamos iwal
‎[8/12/23, 8:14:28 PM] Anthony: ‎sticker omitido
‎[8/12/23, 8:14:34 PM] Corella: ‎sticker omitido
